inchikey,smiles,molwt,logp,HBA,HBD
FPIPGXGPPPQFEQ-OVSJKPMPSA-N,CC(C=CC1=C(C)CCCC1(C)C)=CC=CC(C)=CCO,286.45900000000006,5.510300000000005,1,1
GVJHHUAWPYXKBD-IEOSBIPESA-N,Cc1c(C)c2c(c(C)c1O)CCC(C)(CCCC(C)CCCC(C)CCCC(C)C)O2,430.71700000000027,8.840260000000004,2,1
LXNHXLLTXMVWPM-UHFFFAOYSA-N,Cc1ncc(CO)c(CO)c1O,169.17999999999998,0.08022000000000001,4,3
AGBQKNBQESQNJD-UHFFFAOYSA-N,O=C(O)CCCCC1CCSS1,206.33199999999997,2.785100000000001,2,1
AGPKZVBTJJNPAG-WHFBIAKZSA-N,CCC(C)C(N)C(=O)O,131.17499999999998,0.4443999999999997,3,3
IAOZJIPTCAWIRG-QWRGUYRKSA-N,COC(=O)C(Cc1ccccc1)NC(=O)C(N)CC(=O)O,294.3070000000001,-0.3110999999999997,7,4
QYSXJUFSXHHAJI-YRZJJWOYSA-N,C=C1CCC(O)CC1=CC=C1CCCC2(C)C1CCC2C(C)CCCC(C)C,384.6480000000002,7.619000000000009,1,1
MJVAVZPDRWSRRC-UHFFFAOYSA-N,CC1=CC(=O)c2ccccc2C1=O,172.183,2.0119,2,0
ZKHQWZAMYRWXGA-KQYNXXCUSA-N,Nc1ncnc2c1ncn2C1OC(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)C(O)C1O,507.18200000000013,-1.629000000000001,18,8
ONIBWKKTOPOVIA-BYPYZUCNSA-N,O=C(O)C1CCCN1,115.132,-0.17700000000000005,3,2
GFFGJBXGBJISGV-UHFFFAOYSA-N,Nc1ncnc2nc[nH]c12,135.13,-0.0648999999999999,5,3
DCXYFEDJOCDNAF-REOHCLBHSA-N,NC(=O)CC(N)C(=O)O,132.119,-1.7263,5,5
TUZYXOIXSAXUGO-PZAWKZKUSA-N,CCC(C)C(=O)OC1CC(O)C=C2C=CC(C)C(CCC(O)CC(O)CC(=O)O)C21,424.5340000000002,2.4404000000000003,7,4
CJOFXWAVKWHTFT-UHFFFAOYSA-N,COCCCCC(=NOCCN)c1ccc(C(F)(F)F)cc1,318.3390000000001,3.201500000000002,4,2
ACWBQPMHZXGDFX-QFIPXVFZSA-N,CCCCC(=O)N(Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1)C(C(=O)O)C(C)C,435.5280000000002,4.161700000000002,8,2
HDACQVRGBOVJII-JBDAPHQKSA-N,CCOC(=O)C(CCc1ccccc1)NC(C)C(=O)N1C(C(=O)O)CC2CCCC21,416.5180000000002,2.3832000000000004,7,2
HCZKYJDFEPMADG-TXEJJXNPSA-N,CC(Cc1ccc(O)c(O)c1)C(C)Cc1ccc(O)c(O)c1,302.37000000000006,3.5664000000000016,4,4
XSFJVAJPIHIPKU-XWCQMRHXSA-N,CC1(C)OC2CC3C4CC(F)C5=CC(=O)C=CC5(C)C4C(O)CC3(C)C2(C(=O)CO)O1,434.50400000000025,2.2747,6,2
KPYSYYIEGFHWSV-UHFFFAOYSA-N,NCC(CC(=O)O)c1ccc(Cl)cc1,213.66400000000002,1.857,3,3
KWTSXDURSIMDCE-UHFFFAOYSA-N,CC(N)Cc1ccccc1,135.20999999999995,1.5763,1,2
NEYNJQRKHLUJRU-DZUOILHNSA-N,CSCCC(NC(=O)C(Cc1c[nH]c2ccccc12)NC(=O)CCNC(=O)OC(C)(C)C)C(=O)NC(CC(=O)O)C(=O)NC(Cc1ccccc1)C(N)=O,767.9060000000002,1.5202000000000073,16,9
SNICXCGAKADSCV-JTQLQIEISA-N,CN1CCCC1c1cccnc1,162.23600000000002,1.8483,2,0
